Epoch,Training Loss,Training Accuracy,Training Top5 Accuracy,Validation Loss,Validation Accuracy,Validation Top5 Accuracy,Learning Rate,Training Stamp,Runtime
1,2.0314,0.2246,0.7522,1.8742,0.2851,0.8276,0.002,1650868953.0,100.0
2,1.8227,0.3187,0.8425,1.7313,0.351,0.8703,0.002,1650869033.0,180.0
3,1.6905,0.3722,0.8748,1.6114,0.4033,0.8916,0.002,1650869115.0,262.0
4,1.6256,0.4035,0.8895,1.5765,0.4243,0.8977,0.002,1650869196.0,343.0
5,1.5688,0.4246,0.9003,1.5142,0.4467,0.9111,0.002,1650869278.0,425.0
6,1.5015,0.4549,0.9115,1.4343,0.4779,0.9216,0.002,1650869360.0,507.0
7,1.4504,0.4726,0.9211,1.3862,0.4975,0.9335,0.002,1650869442.0,589.0
8,1.3993,0.492,0.928,1.3802,0.4955,0.9306,0.002,1650869524.0,671.0
9,1.3699,0.5063,0.9321,1.3291,0.5224,0.9353,0.002,1650869605.0,752.0
10,1.3358,0.5158,0.9364,1.3349,0.5209,0.9361,0.002,1650869687.0,834.0
11,1.3057,0.5287,0.9407,1.2759,0.5386,0.9437,0.002,1650869769.0,916.0
12,1.2774,0.5382,0.9434,1.2524,0.5494,0.9473,0.002,1650869851.0,998.0
13,1.2546,0.5486,0.9469,1.2663,0.5448,0.9417,0.002,1650869933.0,1080.0
14,1.2334,0.5544,0.9499,1.2248,0.5516,0.9501,0.002,1650870015.0,1162.0
15,1.2172,0.5603,0.9524,1.1922,0.5736,0.9532,0.002,1650870097.0,1244.0
16,1.194,0.5694,0.9515,1.1784,0.5814,0.9536,0.002,1650870179.0,1326.0
17,1.1677,0.5786,0.9571,1.1642,0.5825,0.9574,0.002,1650870261.0,1408.0
18,1.1558,0.5807,0.9585,1.1567,0.5858,0.9553,0.002,1650870343.0,1490.0
19,1.1417,0.5901,0.96,1.1632,0.5896,0.9552,0.002,1650870425.0,1572.0
20,1.1256,0.5943,0.961,1.1336,0.5978,0.958,0.002,1650870507.0,1654.0
21,1.1089,0.6007,0.9617,1.1625,0.5841,0.9564,0.002,1650870556.0,1703.0
22,1.0909,0.6077,0.9639,1.118,0.6052,0.96,0.002,1650870638.0,1785.0
23,1.0792,0.6128,0.9631,1.135,0.6015,0.9542,0.002,1650870720.0,1867.0
24,1.0648,0.6197,0.9645,1.1039,0.6093,0.9596,0.002,1650870802.0,1949.0
